gene,gene_full,vulnerability_score
SDE2,SDE2 (163859),0.04819886
RRS1,RRS1 (23212),0.048194405
COPB2,COPB2 (9276),0.048155956
PRPF19,PRPF19 (27339),0.04814023
LSM5,LSM5 (23658),0.048139006
H2BC13,H2BC13 (8340),0.048088476
DTL,DTL (51514),0.048067667
PPWD1,PPWD1 (23398),0.048043784
POLR2F,POLR2F (5435),0.04803291
PKM,PKM (5315),0.0480212
POLR2E,POLR2E (5434),0.04792435
HEATR1,HEATR1 (55127),0.047905162
RPL6,RPL6 (6128),0.047844067
MTBP,MTBP (27085),0.04775453
MED8,MED8 (112950),0.04774019
RPS3,RPS3 (6188),0.047738913
NUP85,NUP85 (79902),0.047738694
RPS14,RPS14 (6208),0.04772207
RPS4X,RPS4X (6191),0.047695994
CTCF,CTCF (10664),0.0476904
GARS1,GARS1 (2617),0.047629964
RPL13,RPL13 (6137),0.04755728
PRPF8,PRPF8 (10594),0.04751591
TUBB,TUBB (203068),0.047499064
SMC3,SMC3 (9126),0.047464997
CDC27,CDC27 (996),0.047443114
POLR3K,POLR3K (51728),0.047422707
HAUS1,HAUS1 (115106),0.047394548
COPA,COPA (1314),0.0471467
GINS4,GINS4 (84296),0.047101814
HSPA9,HSPA9 (3313),0.04706159
IGBP1,IGBP1 (3476),0.04699201
PRPF38A,PRPF38A (84950),0.04698748
RPS19,RPS19 (6223),0.046974927
RPS10,RPS10 (6204),0.0469499
RBM14,RBM14 (10432),0.04688309
CPSF4,CPSF4 (10898),0.046874437
SRP68,SRP68 (6730),0.046853933
NUTF2,NUTF2 (10204),0.04684103
DTYMK,DTYMK (1841),0.046838615
SMC2,SMC2 (10592),0.046825137
WEE1,WEE1 (7465),0.046779245
SF3B1,SF3B1 (23451),0.046741
SUGP1,SUGP1 (57794),0.04667496
SRP54,SRP54 (6729),0.046663243
CDT1,CDT1 (81620),0.04658699
ESS2,ESS2 (8220),0.046526168
RPL19,RPL19 (6143),0.04652176
PAM16,PAM16 (51025),0.04641379
PSMG2,PSMG2 (56984),0.046406444
GRPEL1,GRPEL1 (80273),0.04630111
POLR2I,POLR2I (5438),0.046270777
SF1,SF1 (7536),0.04619768
VPS28,VPS28 (51160),0.046094492
SS18L2,SS18L2 (51188),0.0460918
KIF18A,KIF18A (81930),0.046087153
LSM4,LSM4 (25804),0.046042867
RPS7,RPS7 (6201),0.046039622
EIF3B,EIF3B (8662),0.046035185
RPL27A,RPL27A (6157),0.045987103
VARS1,VARS1 (7407),0.045977984
PPP4R2,PPP4R2 (151987),0.045890596
THOC2,THOC2 (57187),0.04579338
CPSF1,CPSF1 (29894),0.045775574
MCM4,MCM4 (4173),0.045773603
CPSF3,CPSF3 (51692),0.045726847
SNRPD1,SNRPD1 (6632),0.045725163
CENPN,CENPN (55839),0.04567034
ZCCHC9,ZCCHC9 (84240),0.0456226
SMARCB1,SMARCB1 (6598),0.045589916
CDC20,CDC20 (991),0.045563042
ZPR1,ZPR1 (8882),0.045553565
PSMD6,PSMD6 (9861),0.045508135
CNOT3,CNOT3 (4849),0.045503136
CDC123,CDC123 (8872),0.04548472
POLR2B,POLR2B (5431),0.045479216
HSPE1,HSPE1 (3336),0.04547067
SLU7,SLU7 (10569),0.04546526
CCT4,CCT4 (10575),0.04542086
MFAP1,MFAP1 (4236),0.04540581
SNRPE,SNRPE (6635),0.04535706
RPA3,RPA3 (6119),0.045334198
PRC1,PRC1 (9055),0.045309648
CCT5,CCT5 (22948),0.045286488
ANKLE2,ANKLE2 (23141),0.04523436
PES1,PES1 (23481),0.045172937
NXF1,NXF1 (10482),0.045127828
TBP,TBP (6908),0.045100067
FCF1,FCF1 (51077),0.04506198
NAA50,NAA50 (80218),0.04501446
POLR1A,POLR1A (25885),0.044887062
RPL18A,RPL18A (6142),0.044863902
NVL,NVL (4931),0.044848748
TPX2,TPX2 (22974),0.044778004
DHX37,DHX37 (57647),0.04477646
CYP21A2,CYP21A2 (1589),0.0447689
RPS16,RPS16 (6217),0.04476586
NUF2,NUF2 (83540),0.044749826
PSMC2,PSMC2 (5701),0.04474741
NDUFS8,NDUFS8 (4728),0.04467457
PYROXD1,PYROXD1 (79912),0.044625685
WDR43,WDR43 (23160),0.04459603
NRBP1,NRBP1 (29959),0.04458259
SAP18,SAP18 (10284),0.044580776
DYNC1H1,DYNC1H1 (1778),0.044554234
GTF2B,GTF2B (2959),0.04451602
RBMX2,RBMX2 (51634),0.0444972
MED14,MED14 (9282),0.04436091
CNIH4,CNIH4 (29097),0.044307426
RPL3,RPL3 (6122),0.04429672
AFG3L2,AFG3L2 (10939),0.044292502
NARS1,NARS1 (4677),0.04427746
MED31,MED31 (51003),0.04425577
RRM2,RRM2 (6241),0.044255033
TFIP11,TFIP11 (24144),0.044205856
CKAP5,CKAP5 (9793),0.04420334
NFYC,NFYC (4802),0.044171695
UBA3,UBA3 (9039),0.04413924
RPA2,RPA2 (6118),0.04409391
SNRPD2,SNRPD2 (6633),0.04408225
UTP20,UTP20 (27340),0.04403466
MIS18A,MIS18A (54069),0.044010915
IMP3,IMP3 (55272),0.04399552
SEH1L,SEH1L (81929),0.04394198
GAPDH,GAPDH (2597),0.043935996
AQR,AQR (9716),0.043931115
DDX41,DDX41 (51428),0.043898426
NHP2,NHP2 (55651),0.043872293
PSMB4,PSMB4 (5692),0.043854
MTOR,MTOR (2475),0.043844707
PSMB5,PSMB5 (5693),0.04382764
NUDT21,NUDT21 (11051),0.043783836
SF3B3,SF3B3 (23450),0.043759987
LSM8,LSM8 (51691),0.0437347
RIOK2,RIOK2 (55781),0.043713402
LARS1,LARS1 (51520),0.043707427
MARS2,MARS2 (92935),0.04369284
CCDC59,CCDC59 (29080),0.043663558
IMP4,IMP4 (92856),0.043652207
EIF3F,EIF3F (8665),0.04358942
H2AZ1,H2AZ1 (3015),0.043567587
KPNB1,KPNB1 (3837),0.04356685
DDX3X,DDX3X (1654),0.043560214
MMS19,MMS19 (64210),0.043513153
NIP7,NIP7 (51388),0.043504663
XAB2,XAB2 (56949),0.043458574
TRAPPC3,TRAPPC3 (27095),0.043450262
NCBP2,NCBP2 (22916),0.043404307
TRNT1,TRNT1 (51095),0.043396693
RRP12,RRP12 (23223),0.043362953
SMC1A,SMC1A (8243),0.043348286
RRM1,RRM1 (6240),0.04333775
VPS25,VPS25 (84313),0.04333498
AHCTF1,AHCTF1 (25909),0.04331165
NUP160,NUP160 (23279),0.043304905
WDR33,WDR33 (55339),0.043283306
ACTG1,ACTG1 (71),0.043232612
DYNC1I2,DYNC1I2 (1781),0.043162253
CIAO3,CIAO3 (64428),0.04309826
RNPC3,RNPC3 (55599),0.043095473
GTF2H4,GTF2H4 (2968),0.04306994
RPAP1,RPAP1 (26015),0.043064278
SNAPC2,SNAPC2 (6618),0.043049023
CCNK,CCNK (8812),0.04302622
MRPS21,MRPS21 (54460),0.043014098
USP36,USP36 (57602),0.043002274
ALG11,ALG11 (440138),0.042948723
GTF3C1,GTF3C1 (2975),0.04294077
CCT2,CCT2 (10576),0.042853706
SNRPB,SNRPB (6628),0.04266103
CCT3,CCT3 (7203),0.04265681
ISCU,ISCU (23479),0.042625863
HINFP,HINFP (25988),0.042613484
PABPN1,PABPN1 (8106),0.042594597
YRDC,YRDC (79693),0.042583153
SMU1,SMU1 (55234),0.042558692
SRP19,SRP19 (6728),0.042552862
WDR37,WDR37 (22884),0.042497475
PRPF40A,PRPF40A (55660),0.04249044
TOMM40,TOMM40 (10452),0.042436857
DDX18,DDX18 (8886),0.042347014
MAK16,MAK16 (84549),0.04234169
BANP,BANP (54971),0.042341374
WDR36,WDR36 (134430),0.042282674
TBCA,TBCA (6902),0.042276975
CDC6,CDC6 (990),0.042274598
WARS1,WARS1 (7453),0.042255323
CENPT,CENPT (80152),0.042208005
SERINC4,SERINC4 (619189),0.04218484
DDX54,DDX54 (79039),0.04217405
RBMXL1,RBMXL1 (494115),0.042142943
DDX20,DDX20 (11218),0.04210467
MMS22L,MMS22L (253714),0.042090766
SART1,SART1 (9092),0.042039525
USP10,USP10 (9100),0.0420383
SAP30BP,SAP30BP (29115),0.042005718
PHAX,PHAX (51808),0.04199267
TOPBP1,TOPBP1 (11073),0.041973405
EXOSC9,EXOSC9 (5393),0.041973326
PAFAH1B1,PAFAH1B1 (5048),0.041958142
RPLP1,RPLP1 (6176),0.041943964
NUP62,NUP62 (23636),0.041933663
MED22,MED22 (6837),0.041929714
NOP16,NOP16 (51491),0.04186102
PDCD2,PDCD2 (5134),0.04185316
ATR,ATR (545),0.04180339
CHORDC1,CHORDC1 (26973),0.041788332
GEMIN5,GEMIN5 (25929),0.04178411
PRPF31,PRPF31 (26121),0.041781753
TP53RK,TP53RK (112858),0.04173797
MED28,MED28 (80306),0.041699864
HDAC3,HDAC3 (8841),0.04169519
GTF2A2,GTF2A2 (2958),0.04155378
POLR2G,POLR2G (5436),0.041507304
USP5,USP5 (8078),0.041505836
MYADM,MYADM (91663),0.041505694
RPS15A,RPS15A (6210),0.041496266
PWP2,PWP2 (5822),0.041493755
EIF3A,EIF3A (8661),0.041493654
POLD2,POLD2 (5425),0.04148958
YAE1,YAE1 (57002),0.041476436
GNL3L,GNL3L (54552),0.04142966
TST,TST (7263),0.041394804
CHMP6,CHMP6 (79643),0.04137007
EP400,EP400 (57634),0.041365042
HNRNPM,HNRNPM (4670),0.041316874
UBE2G1,UBE2G1 (7326),0.041263733
RFC4,RFC4 (5984),0.041258775
PAXBP1,PAXBP1 (94104),0.041176587
KAT8,KAT8 (84148),0.041115243
CDC23,CDC23 (8697),0.041106105
SOD1,SOD1 (6647),0.04101165
THAP12,THAP12 (5612),0.041010883
AURKB,AURKB (9212),0.040997114
RPS23,RPS23 (6228),0.040984865
YJU2,YJU2 (55702),0.04095533
PCNA,PCNA (5111),0.040955234
ABCE1,ABCE1 (6059),0.040919825
CACTIN,CACTIN (58509),0.040919114
ILF2,ILF2 (3608),0.04090186
NSL1,NSL1 (25936),0.040871445
ACTR2,ACTR2 (10097),0.040870532
RPL12,RPL12 (6136),0.040825438
RPL14,RPL14 (9045),0.040797416
GTF3C5,GTF3C5 (9328),0.040794984
SGO1,SGO1 (151648),0.04074253
THAP11,THAP11 (57215),0.040672444
KCTD10,KCTD10 (83892),0.040648554
KCMF1,KCMF1 (56888),0.04062051
BYSL,BYSL (705),0.040609363
GTF2F2,GTF2F2 (2963),0.04058225
ALDOA,ALDOA (226),0.04055817
HNRNPU,HNRNPU (3192),0.04053826
BMS1,BMS1 (9790),0.040523402
IARS2,IARS2 (55699),0.04051891
SLC39A7,SLC39A7 (7922),0.040510878
UBE2I,UBE2I (7329),0.04047769
SRP72,SRP72 (6731),0.04046149
TANGO6,TANGO6 (79613),0.040441502
POLD1,POLD1 (5424),0.040392876
BRF1,BRF1 (2972),0.040383708
GINS2,GINS2 (51659),0.04037968
CDC7,CDC7 (8317),0.040335704
RPL17,RPL17 (6139),0.040322237
MINPP1,MINPP1 (9562),0.04030839
SNW1,SNW1 (22938),0.040278494
RPL24,RPL24 (6152),0.040269747
POLR3C,POLR3C (10623),0.040265173
EIF2B2,EIF2B2 (8892),0.040259242
CEP192,CEP192 (55125),0.040257856
ANAPC10,ANAPC10 (10393),0.040250923
RPL4,RPL4 (6124),0.04016001
CALCOCO1,CALCOCO1 (57658),0.04015296
SEC61G,SEC61G (23480),0.040151577
BUD31,BUD31 (8896),0.040131368
DIMT1,DIMT1 (27292),0.04011996
RCC1,RCC1 (1104),0.040087074
RPL11,RPL11 (6135),0.040079236
NEDD8,NEDD8 (4738),0.04006534
ARL2,ARL2 (402),0.04005771
CENPH,CENPH (64946),0.040048048
EIF2S2,EIF2S2 (8894),0.0400457
XRCC3,XRCC3 (7517),0.040039815
ATP6V1A,ATP6V1A (523),0.03999277
PHB1,PHB1 (5245),0.03988216
SON,SON (6651),0.039881174
LSM2,LSM2 (57819),0.039817307
CFAP298,CFAP298 (56683),0.039802205
NOP58,NOP58 (51602),0.039697167
SNUPN,SNUPN (10073),0.039668735
EIF2B3,EIF2B3 (8891),0.039639685
EBNA1BP2,EBNA1BP2 (10969),0.03960926
SRSF7,SRSF7 (6432),0.039551172
WDR82,WDR82 (80335),0.039550386
KAT5,KAT5 (10524),0.03953005
GINS3,GINS3 (64785),0.039465263
RRAGA,RRAGA (10670),0.039455164
DDX10,DDX10 (1662),0.039434344
U2SURP,U2SURP (23350),0.039424412
POLR3A,POLR3A (11128),0.039399758
RAE1,RAE1 (8480),0.039332453
ARGLU1,ARGLU1 (55082),0.039329126
MAST1,MAST1 (22983),0.039291672
RACGAP1,RACGAP1 (29127),0.03924102
SNRNP35,SNRNP35 (11066),0.03922095
MTREX,MTREX (23517),0.03920994
EIF2S3,EIF2S3 (1968),0.039187416
TOP3A,TOP3A (7156),0.039179366
USP37,USP37 (57695),0.039174087
MCM2,MCM2 (4171),0.039161
HAMP,HAMP (57817),0.03914903
PABPC1,PABPC1 (26986),0.039134216
FIP1L1,FIP1L1 (81608),0.039130293
PLK1,PLK1 (5347),0.039112926
UBQLN4,UBQLN4 (56893),0.039080784
FDXR,FDXR (2232),0.039051116
U2AF1,U2AF1 (7307),0.038995594
RPRD1B,RPRD1B (58490),0.038951963
XRCC5,XRCC5 (7520),0.03892081
DDX24,DDX24 (57062),0.038897514
RBM25,RBM25 (58517),0.038893886
CRNKL1,CRNKL1 (51340),0.038881674
SRF,SRF (6722),0.038874537
MED27,MED27 (9442),0.038865022
CDC37,CDC37 (11140),0.038786385
ZBTB11,ZBTB11 (27107),0.0387824
CENPK,CENPK (64105),0.038768895
RAD51,RAD51 (5888),0.038762182
TINF2,TINF2 (26277),0.038729347
PIRT,PIRT (644139),0.038702585
POLD3,POLD3 (10714),0.03865837
CSTF1,CSTF1 (1477),0.038629882
PUM1,PUM1 (9698),0.03861795
BCAS2,BCAS2 (10286),0.038611237
DHX16,DHX16 (8449),0.038609512
SSU72,SSU72 (29101),0.0385337
RPP40,RPP40 (10799),0.038481876
SERBP1,SERBP1 (26135),0.03845303
DNAJC9,DNAJC9 (23234),0.0384494
ARMC7,ARMC7 (79637),0.038436726
SNAPC5,SNAPC5 (10302),0.03842111
AK6,AK6 (102157402),0.038383774
TMA16,TMA16 (55319),0.03835006
WDR3,WDR3 (10885),0.03834168
NSA2,NSA2 (10412),0.03831946
MEPCE,MEPCE (56257),0.038318105
NAA15,NAA15 (80155),0.03830972
PPP1R15B,PPP1R15B (84919),0.038306784
RPS12,RPS12 (6206),0.038306296
IPO7,IPO7 (10527),0.038305216
TGS1,TGS1 (96764),0.03827635
NUP205,NUP205 (23165),0.038259853
RANGAP1,RANGAP1 (5905),0.038247734
DBR1,DBR1 (51163),0.03821742
PCBP1,PCBP1 (5093),0.038173083
PFDN2,PFDN2 (5202),0.03816972
POLR3B,POLR3B (55703),0.038169455
TSPYL5,TSPYL5 (85453),0.038136013
VPS51,VPS51 (738),0.038078688
POLR1F,POLR1F (221830),0.03807683
PIGH,PIGH (5283),0.038028423
RPL35A,RPL35A (6165),0.037996624
QRSL1,QRSL1 (55278),0.03799238
KARS1,KARS1 (3735),0.037990414
SUPT5H,SUPT5H (6829),0.03792338
PPAN,PPAN (56342),0.03782313
UTP23,UTP23 (84294),0.037808973
NUP93,NUP93 (9688),0.03780291
NRDE2,NRDE2 (55051),0.037750985
ELP6,ELP6 (54859),0.0377488
MRPS15,MRPS15 (64960),0.037716113
BUB1B,BUB1B (701),0.037709635
TBCC,TBCC (6903),0.03769481
PMPCB,PMPCB (9512),0.037688836
HYOU1,HYOU1 (10525),0.03766832
NAT10,NAT10 (55226),0.037659526
SSB,SSB (6741),0.037637964
GALK2,GALK2 (2585),0.037577175
MRPS14,MRPS14 (63931),0.037542332
ZNHIT6,ZNHIT6 (54680),0.03751929
STX5,STX5 (6811),0.03751902
TOP2A,TOP2A (7153),0.037508108
RPA1,RPA1 (6117),0.03748386
TRNAU1AP,TRNAU1AP (54952),0.037480656
RPS18,RPS18 (6222),0.03745509
UPF2,UPF2 (26019),0.03745436
YJU2B,YJU2B (81576),0.037433676
RPF2,RPF2 (84154),0.03739265
NCBP1,NCBP1 (4686),0.037384532
EIF3E,EIF3E (3646),0.037351616
CHMP2A,CHMP2A (27243),0.037303843
AKIRIN2,AKIRIN2 (55122),0.03729415
SPRYD4,SPRYD4 (283377),0.037288852
KRTAP10-9,KRTAP10-9 (386676),0.03722383
DYNLRB1,DYNLRB1 (83658),0.0372218
COPS8,COPS8 (10920),0.037220173
LAMTOR2,LAMTOR2 (28956),0.0372164
ABCB7,ABCB7 (22),0.037214007
WDR5,WDR5 (11091),0.037181463
DNAJC17,DNAJC17 (55192),0.037172433
COPS6,COPS6 (10980),0.0371367
INSC,INSC (387755),0.037131924
KANSL3,KANSL3 (55683),0.037120193
DDX47,DDX47 (51202),0.037074428
CPSF2,CPSF2 (53981),0.03702214
KCNJ12,KCNJ12 (3768),0.037020504
PSMB1,PSMB1 (5689),0.037012447
POLR3E,POLR3E (55718),0.037004225
CWC22,CWC22 (57703),0.036998596
HMGCS1,HMGCS1 (3157),0.03694861
PSMA2,PSMA2 (5683),0.03694512
BRCA1,BRCA1 (672),0.03693578
ANAPC4,ANAPC4 (29945),0.036915213
ARHGAP17,ARHGAP17 (55114),0.03686339
THOC7,THOC7 (80145),0.03685532
UBA2,UBA2 (10054),0.036824774
PSMA4,PSMA4 (5685),0.036821865
INTS9,INTS9 (55756),0.036817595
MRPL32,MRPL32 (64983),0.036816105
DDX49,DDX49 (54555),0.036814503
SUPT6H,SUPT6H (6830),0.036813278
HAUS5,HAUS5 (23354),0.03678894
EXOSC6,EXOSC6 (118460),0.036735695
PSMD13,PSMD13 (5719),0.036701977
SLC35B1,SLC35B1 (10237),0.036685556
H2AC12,H2AC12 (85235),0.036670987
HEATR3,HEATR3 (55027),0.036660697
CHAF1A,CHAF1A (10036),0.036660522
MASTL,MASTL (84930),0.036651634
UBE2H,UBE2H (7328),0.036646
SAMM50,SAMM50 (25813),0.036632508
SPC25,SPC25 (57405),0.036577374
CLP1,CLP1 (10978),0.036565382
EIF1,EIF1 (10209),0.03656035
GPATCH1,GPATCH1 (55094),0.036557615
RPL7A,RPL7A (6130),0.036549088
UTP6,UTP6 (55813),0.036508877
FNTA,FNTA (2339),0.03650748
EDC4,EDC4 (23644),0.036507238
NRF1,NRF1 (4899),0.03650448
TIMM13,TIMM13 (26517),0.03644394
DNAJC8,DNAJC8 (22826),0.03639001
RPLP2,RPLP2 (6181),0.036291335
RUVBL2,RUVBL2 (10856),0.036269408
RPAP2,RPAP2 (79871),0.03623552
PPP1R11,PPP1R11 (6992),0.036225665
FUBP1,FUBP1 (8880),0.036201093
POLR2H,POLR2H (5437),0.036174275
THG1L,THG1L (54974),0.036161378
SRSF11,SRSF11 (9295),0.036160808
ESF1,ESF1 (51575),0.03615968
EIF2B5,EIF2B5 (8893),0.036154833
SNAPC3,SNAPC3 (6619),0.036126096
MANF,MANF (7873),0.03603765
KIN,KIN (22944),0.03601982
MARS1,MARS1 (4141),0.03601962
PSMB6,PSMB6 (5694),0.036013708
WDR77,WDR77 (79084),0.03592391
RNF41,RNF41 (10193),0.035919733
CDC5L,CDC5L (988),0.035911467
ARIH1,ARIH1 (25820),0.035910077
CHERP,CHERP (10523),0.035889484
SEC13,SEC13 (6396),0.03588446
